,reviews
10,"✅ Trip Verified |  I am surprised to be able to give a favourable review of the flight. European Business Class is typically 3x3 seating with the middle seat on each group of three left empty. Leg room is never generous and BA is at the bottom of the generous barrel in this respect. However, on this occasion at least and as the flight is one hour that was not an issue. Cabin crew were great, very professional and efficient, cabin was clean and aircraft seemed pretty up to date. I was surprised to find that business class was served an 'afternoon tea' complete with champagne (much nicer than the poor Prosecco in the lounge). We had three small sandwiches, chocolate cake and a choice of plain or fruit scone. Strawberry jam and clotted cream on the side for those who wanted them. It all tasted great, I didn't try the chocolate cake, and there was just about enough time to eat it before landing. The crew worked very hard to complete service in time so well done them."
11,"✅ Trip Verified |  Flew British Airways on BA 434 London Heathrow to Amsterdam. I was able to check in at the BA First Class check in area in Terminal 5 and this is very fast and efficient. The lounge was quite busy; however, I was able to find space. The food, snacks, and drinks available was excellent as was the overall service. I also like the BA First Class Check in area as the security clearance is fast. Boarding was a little chaotic, however we boarded on time and the take off runway was close to the departing gate, therefore no delays. The flight itself was quite good as was the cabin crew and the meal service."
12,"✅ Trip Verified |  BA cancelled the flight from Tokyo to LHR. I was booked on next day flight. There was another flight on the same day. I went to the desk, but the flight was full. BA in charge offers another flight through Hong Kong which would have been 26h flight time. I declined that, and asked to stay on the next day flight. To my dismay he cancelled the next day flight without telling me he did that. I think he was annoyed that I didn’t accept the offer after he spent sometime looking for. In fact I am the one who should be annoyed for cancelling my flight. I ended up flying another airline with downgrading. Poor service, and appalling behaviour. You expect better from BA."
13,"✅ Trip Verified | I strongly advise everyone to never fly British Airways. I know we will never do so again. We had business class seats booked for an early morning flight from Heathrow to SF - and then the flight was cancelled the evening before the flight. We luckily checked email before we went to bed and found out it was canceled. We then called BA, and after waiting 30 minutes someone to answer the call, the person who finally did said he was going to move us to a United Air flight leaving an hour later from Heathrow to SF the next day. He told us the flight number and said he had booked us business class seats. It took a long time to get it all worked out, so we got just a few hours sleep that night, but it looked like it was resolved. Then, however, when we got to Heathrow early the next morning we found that the BA person did not complete the booking as needed and United could not give us seats. They said we needed to call BA to get them to complete the change. But despite numerous attempt we could not get anyone to answer the phone at BA. This went on for 2 hours. Finally, by the grace of god, after hours of stress trying to figure out what to do, we found a United ticket agent at the airport who personally called BA for us and got then to fix the problem. So, after being at Heathrow at 7 am, we ended up leaving for SF late that afternoon totally exhausted. The United air ticket agent saved us and allows us to get home. She also said these problems were common with BA. "
14,"✅ Trip Verified | My partner and I were on the BA2166 return flight from Tampa to Gatwick and I was very excited as had paid for a upgrade to Business Class, my partner flies BC with BA a lot for work but this was only my second time, we decided as it was the end of our holiday that have this will help us get some quality sleep. Unfortunately that was not to be. Also in Business Class were two families with children under 5. It was a very long flight listening to a toddler not just crying but screaming for seven out of the eight hours. Now its not the childrens fault, I do however think that the cabin crew could have maybe internvene and helped a little more but also BA should have informed us as we paid alot of money and quite frankly could have saved that money and just had economy ticket as at least we would be a few grand better off. What with that and how the checking in ground staff were treating us as if we were an inconvenience we will rethink BA moving forward."
15,"Not Verified |  We had a Premium Economy return flight Los Angeles to London. The outbound flight was cancelled with under 12 hours notice, and we had to instead take an economy flight via Dublin to London. That's annoying but it happens. What is really difficult to understand is BA's response since I raised this as a claim once our return flight had completed (as I was instructed to do). It is now nearly 5 months and there has been no response other than one in early March with the title ""we've not forgotten your case"" and ""We're really sorry you're still waiting for a response from us. We know it's been a long time since you contacted us and this isn't the service you should expect. Rest assured we've not forgotten your case. Our Customer Relations team are working extremely hard to respond to you as soon as possible. Thank you for your continued patience. You can check the status of your case here. Please accept our most sincere apologies. We look forward to speaking with you soon."" I called about a month ago to enquire and was told i'd be hearing within the week. This is just extremely poor customer service, in addition to the inconvenience and stress of the late-cancelled flight, delays and change in class of flight. British Airways really seems to be on the decline, i have so many friends who are long-time customers like us who are having flights cancelled or delayed with little commitment to make it right. I have been a member of their Flying Club for 20 years, is this how you treat loyal customers BA?"
16,"✅ Trip Verified |  I should like to review my flight with British Airways from Hannover to London Heathrow. Firstly, the website was very easy to use, however, I object to the policy put in place with regards to having to pay for preferred seating. Checking-in online was a very easy process other than being presented with the fee to select a seat. At the boarding gate in Hannover the staff were superb, they insisted that people with larger bags turned over the bags for check-in. I was included in this. The staff were very fair and polite and imposed this policy evenly and in a firm but polite manner. The flight took off reasonably on-time. The cabin crew were very good and coped really well with what was an entirely full flight. The now usual small bottle of water and a tiny snack the size of a UK 50p coin were issued to the passengers. On this flight, the Captain was very vocal in the nicest possible way. He oozed a sense of professionalism and was well spoken with clear and informative announcements. Disembarkation was orderly, however the cabin crew were nowhere to be seen when leaving the aircraft. Given that this was a very short flight and given the full nature of the flight too the cabin crew deserve an applause for their professionalism. This experience has turned around my less than positive experience with this airline a few months ago. Well done to the ground staff and cabin crew for making this a pleasant and civilized journey!"
17,"✅ Trip Verified | We have flown with British Airways a few times but this last trip was by far the worst experience. We weren't able to check in online because the system wouldn't accept any of our passport info, so we had to wait to check in upon arrival at the airport. We arrived two hours before our scheduled departure. The line was backed up with only 4 stations being staffed where there was room for at least 6 more attendants to help expedite check in. We talked to a few people in line and they too were unable to check in online. It took the desk attendants an hour to check in the people ahead of us. We told the agent we had tried to check in online but it wouldn't accept our passports, she replied it was because they need to verify each passport personally. I asked that wouldn't they verify them that way anyway? I also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldn't secure them because we couldn't finish check in. She went on to tell us it's a full flight so we wouldn't be able to choose our seats. We reached the gate and ask the agents there about moving to another section and she confirmed there was no availability. During the flight, the service was not what we expected based on previous flights. We only saw the flight attendants during food service and twice to pickup trash. Every time I went to the lavatory, there were at least 6-8 attendants standing around chatting, instead of taking care of the passengers. The attendants seemed uninterested and inexperienced, even snapping at a confused passenger regarding their seat belt. The flight attendants were disappointing to say the least. No available air control vents above us, so no option to have any air flow other than what the whole plane had. Upon landing, we went to the baggage carousel to claim our bags. An hour later, still no bags. Finally a message came over the loudspeakers that the elevator on the plane was broken and the ETA of the bags was still unknown. About 30 minutes later, the bags started to slowly appear on the belt. Overall, this was the worst BA flight we've experienced."
18,"✅ Trip Verified | I sat in the plane at Vienna airport for three hours and didn't take off. After arriving in London, I was sent on my connecting flight, only to be told that the plane had already closed and that I should go back to the other terminal. I was then flown to Johannesburg with Virgin and when I arrived my luggage had not been taken. I only received it five days later. I have been waiting for compensation for nine months. Never again British Airways"
19,✅ Trip Verified | It is almost 11pm we were supposed to take off at 19.20 we are still sitting on the plane at the airport. The worst part is not the technical issue that has kept us grounded but the fact we have only been offered half a glass of water the entire time we have been on board. Being hungry and dehydrated has not helped the situation.
20,"✅ Trip Verified |  I booked a long haul flight to Singapore with British Airways because I thought I could rely on them to provide good and reliable service. Unfortunately this wasn't the case hence this review. Knowing I would be able to fall asleep watching movies or TV shows on their in flight entertainment system was something I was looking forward to on this overnight flight. However, my console didn't work and instead I had a loud screaming toddler in the seat behind me that kept kicking my seat and some babies in Front. Only two hours into this already hell of a journey were we told that we should buy the WiFi pass for which we will get fully reimbursed. I followed up several times throughout the flight with the cabin crew who assured me they will take a note of my seat number and someone from customer service will contact me with reimbursement. This wasn't the case. After waiting for several days I contacted them myself and instead of the 21.99 reimbursement that I can use towards a nice meal on holiday they've given me 5000 AVIOs. I never want to fly with them again so why give me service points when I was told by cabin crew I would be refunded - the only reason I even bought this WiFi pass as it's not even good enough to watch anything with because the connection quality is so poor. What a waste of a flight and £22. These are 14 hrs of my life I will never get back and forever remember. I will remember BA as the brand that once was that no longer is. Their cabin crew seemed overworked and overwhelmed and even when you pressed the attention buzzer no one came. If you can avoid booking with BA go ahead. "
21,"✅ Trip Verified |  A premium price for a sub-par product - flew BA (031/032) LHR and HKG and return in May. We had originally booked when the aircraft was allocated the club suites - paid for seat selection. A couple of months prior to the trip, the aircraft was changed to the 2/3/2 layout with the yin/yang seat configuration. We had been allocated 2 of the 3 middle seats, so paid again to select the window and aisle. The hard product is poor - the seat space lacks any form of storage that remains accessible when the seat is in the flat position - nowhere to put specs, a book or phone. Additionally, the window seat passenger has to climb over the feet of another passenger to use the toilet etc - really poor layout. The planes on both legs of the journey were tired and shabby. The crew on the outward journey were enthusiastic and helpful - the return crew seemed less adept at managing the service. The outbound catering was acceptable - but the presentation on tiny plates does not compare favourably with competitors. The catering inbound was very poor. The welcome ‘champagne’ was truly awful. This is a poor product at a premium price - and sad to say, this pair of self-funding passengers won’t choose to repeat the experience. The lounge at Heathrow on the outbound sector was packed to the rafters and was a poor experience. Very disappointing."
22,✅ Trip Verified |  Really terrible user experience. British Airways website is full of glitches. I can't even choose my own seat due to cookie problems. Never had this problem with any other airlines. 
23,"✅ Trip Verified | Very impressed with BA. Check in online was a little convoluted but once through that everything was great. We flew in standard economy and paid to choose our seats - this seems to be standard for all airlines now and how they keep initial prices down, but worth doing so we could sit together. Meals were excellent and drinks great. A simple water and biscuit on our short internal leg but still included and then 1 drink, 1 main meal and 1 snack on our 7 hour leg was better than our last trip on Emirates!! They gave out double drinks at drink service - that was 2 cokes and 2 beers for my partner and he was well pleased! Staff friendly, bags transfered and arrived in good condition and entertainment on route was good too. Will definitely choose BA again over other airlines."
24,"✅ Trip Verified |  LHR - SFO, LAS - LGW August 2023 in Club World. It's a shame that the British Airways experience is split into a mixture of fantastic ground and cabin crew, and dated products and dreadful after service. Our flight to San Francisco was on an A380, the interior of which was showing it's age. Two of our 3 seats had issues, 1 would not recline, the dividing screen to the next seat would not stay up and the other was temperamental with it's recline and the IFE would not respond to the controls. Crew on board were great but the dated and aging product for which top dollar is charged for should have been upgraded years ago. A shame for such a great aircraft. Coming back from Las Vegas to LGW on an tired 777. We were informed at check in that there was an issue with the seats we had pre-booked and paid for and that we would need to be moved. Seats we were moved to were fine and worked. The original seats had people in them and they appeared fine! Flight was late landing and departing due to weather conditions in Vegas but the aircraft was turned round in a super quick time - which was impressive. Where BA have really let themselves down is the after flight experience. After 3 1/2 months we got an acknowledgement and avios credit for the issues on the flight to SFO. We are still waiting 9 months later for the Avios points we used to pay for the seat selection to be refunded for the Las Vegas to London Gatwick leg of the flight. Despite numerous attempts to contact they haven't got back to us. Our Avios account page through BA won't load our recent transactions and does not list the flights we've taken in the last 12 months! Won't be travelling with BA for a long long time now - dated and poorly maintained on board products and appalling customer service."
25,Not Verified |   I flew from Malaga via LHR to Boston on the 4th May 2024 and on arrival in Boston discovered my luggage was still in London. Filed a report and now 4 days later no sign of the luggage. The baggage customer service is a joke. Not interested in the clients or giving a good service. Updates are useless. I know my luggage has been sitting in Boston since the 5th as I have an air tag inside it. The airline seem to have no intention of getting my luggage to me. The robots on FB messenger & twitter are useless. I opened a complaint & when I checked the update of my complaint the case had been closed despite never been contacted by a human!! This airline is now a joke and if I ever get my luggage back I doubt I will ever fly with them again. They are now worse than Air Canada in my book and that is saying something.
26,"✅ Trip Verified |  Milan to Miami return via London. Worst business class ever. The layout of A380 of BA is crazy. The width of seats is outrageous (aisle seats are a shame for BA). Length is ok but you have to JUMP over the legs of another passenger when he/she is in sleeping mode. Unbelievable. The system of dividers up and down to reach all seats by crew is absurd and awful. Never again with this layout. Meal was below average from LHR to Mia, while the return was quite good. Unfortunately for BA, I flew in March with Qatar Airways business class, and not comparable. Just to highlight the difference: BA row has 8 seats, while QR has 4 seats! That’s it. On top of that, the service is quite strange (mainly due to dividers above). Boarding procedures look well organized at the beginning, then during boarding become quite messy."
27,"✅ Trip Verified |  BA created a new low-cost subsidiary in BA Euroflyer for flights out of London Gatwick. From a passenger point of view this is meant to mean no difference in service from BA mainline short-haul out of Heathrow. However it is most definitely inferior. Firstly is the seats - BA promised to keep their old much more comfortable Pinnacle seats up to row 12 in their refurbishment of these planes with slimline seats, however at BA Euroflyer it seems the whole plane has these installed on some planes. Despite snagging a seat in row 10, we ended up still with those horrible back breaking seats that have no lumbar support and no headrests. One positive of the new seats was meant to be at-seat power to charge devices, but this didn't have that either. The onboard service is meant to include some complimentary food and drink, namely a sweet or savoury snack and a small bottle of Harrogate Spa water. What we got was horrible Nairn's Raisin Oat biscuits, without asking if we'd like the other choice and no water. On the return flight it was explicitly announced we'd be offered a glass of water for free, but this was not offered during the service. The snack was sole choice of a pack of McVities Milk Chocolate digestive, hardly premium and downgrade from some of the more alternative and upmarket offerings we've received when flying from Heathrow. On the way back we did have non-refurbished plane with pinnacle seats, this was welcome, however clearly the plane is not maintained, as one toilet had no water flowing from the tap - very irritating when you soap up to wash your hands after going to the toilet. I went to rinse my hand in the other toilet, luckily it wasn't busy, the tap was working but the sink wasn't draining and almost overflowed. Lastly the cabin crew on BA Euroflyer are very unpolished, look miserable and extremely demotivated. A lot of them a very young, we're talking late teens and clearly very inexperienced and not likely to stay long under the conditions offered to them. BA really needs to rethink its product offering in short-haul - ultimately people choose to fly with them for variety of reasons, but invariably there is a reason like us they don't fly with their low-cost rivals because they want peace of mind, less stress and to be comfortable. So replicating the likes of Ryanair, easyJet or Wizz Air is just alienating as a customer, because we choose BA to avoid the kind of experience they offer. We were on an award ticket, but looking at cash tickets they're not even cheap nor offer better timings than those rivals, despite all this bean-counting!"
28,"✅ Trip Verified |   I flew with British Airways from Heathrow to Hannover. Although the check-in process was relatively quick, there was a noticeable lack of staff—another apparent cost-cutting measure by BA. Upon arriving in Hannover, I found that my luggage hadn't made it to the airport, and there were no staff to assist. I had to file a report online. The following day, I received a call saying my luggage would arrive on a later flight, but this didn't help me since German shops are closed on Sundays, leaving me without essential items. As a result, I was confined to my hotel, unable to attend any planned events because I didn't have suitable clothing. When my luggage eventually reached the Hannover airport, I got a call from BA informing me that they couldn't deliver it for another day or two. They advised me to take a taxi to pick it up and said I could claim back the cost, but when I submitted my claim, BA refused to cover the taxi expenses. They also declined to offer compensation for the inconvenience caused by the delayed baggage, even though it disrupted a full day of my trip. Service on my return flight from Frankfurt was also below par from the ground crew at Frankfurt airport who were slow & rude at check in. BA's customer service has declined significantly, now resembling the level of budget airlines like EasyJet and Ryanair—but at a premium price. Given my recent experience, I will avoid flying with BA whenever possible. "
29,"✅ Trip Verified |  Manchester to Copenhagen via London on 30th April 2024 Aircrafts were A319 and A320, respectively, both in decent condition. I arrived from Africa, and had to transit and change terminal to T3, which is very cumbersome and tedious. Check-in was quick, easy, and professional, got my desired seats due to silver status at BA. From T3 I had to go through one of the worst security checks ever encountered, fragmenting almost every item in my carry-ons. Their Escape Lounge in T3 is quite decent, particular beer choices and prosecco sparkling wine. Food was very poor, neither any savoury snacks nor meaty food at all. Good tarmac view. First flight was delayed, forcing me to catch the 2nd in LHR within ½ hour. However, I was informed clearly at gate upon arriving in LHR, assisting me on next gate and the airline managed to transfer the luggage in this extremely narrow timeslot. Onboard, only a mini-bottle of water and some bagged crumbs were given, fairly useless and superfluous. No IFE or WiFi. Annoying charity beggings from FAs on both flights are intrusive, annoying, disrespectful, and degrades the airline. Offerings onboard like discount carriers, except being pricier. Arrived final destination on time and so did my luggage."
30,✅ Trip Verified |  I have never seen such disrespect to a customer. It was the 3rd time in 2 months that I was unable to do a check-in because of their website not working properly. Lost 2 hours on the phone with their customer service team. At the airport I was asked to check in my hand luggage because they had no more space in the cabin. I could not recline my seat and the staff was rude and unhelpful to me. The wifi was also not working. I made multiple complaints and no one ever even contacted me. Never using them again!
31,"✅ Trip Verified |  Paid for a 14 hour long flight ticket which includes use of the in-flight entertainment system. Ended up in a seat where the in-flight entertainment system was malfunctioning and could not be used at all. Flight attendants sought to perform a ""service recovery"" through their customer relations team. Contacted by the said team slightly more than a week later with an offer of an eVoucher that can only be used in purchasing additional flight tickets with BA. Explained to them that I had no intentions of travelling again within the next two years so I had no use of an eVoucher and sought for an alternative form of compensation instead, something that could really be useful instead. Customer Relations simply brushed my request off as them unable to offer any alternate ""gesture of goodwill"".  Compensation in British Airways is a matter of ""goodwill"". Pay for a ticket but don't get what you paid for in full. Compensation is one that requires you to spend even more money on the airline (so that they can disappoint you further). An ultimately self-serving, inconsiderate, undiscerning and insincere compensation. Which in itself isn't even anything they feel guilty or remorseful about, because any compensation is a ""gesture of goodwill"", something you don't deserve in their view. "
32,"✅ Trip Verified |  Very inconsiderate PA announcements were made by a purser who appearingly decided to exchange his career at BA for comedy club acting, although not at the right setting. First pre-landing PA: “My colleague and I had a very long week with British Airways, so we are dimming the lights as we don’t want you to see our faces. If you are afraid of the dark - just look at the passenger next to you”. Although clearly not the purser’s intent, it sounded like a mocking and very careless of people with aero / darkness phobias who may have a panic attack after such a joke. Very inconsiderate and damages BA’s brand as a safe, accessible and a trusted airline. Second PA after landing was: “if you’d like to make a complaint, go call EasyJet”. I felt genuinely insulted by this “joke”. BA charged an abusive fee. In the end, I literally had to beg the rude and dismissive ground staff in Madrid not to check my roller bag at gate because I recently had surgery and needed to hold onto it to walk. Instant noodles which I purchased onboard were barely edible. All cabin crew except from one disappeared at the galley where they were loudly chatting and laughing and looked at me as a nuisance even when I just wanted to pass through them to visit the lavatory. And then the chief purser effectively announces that if anyone is unhappy they can go fly someone else. Wake up, BA! You are already worse than EasyJet and Ryanair in terms of value for money!! I note that only ones who found the purser’s jokes funny were the other cabin crew who made a few vulgar laughs, while passengers remained dead silent. I can understand airlines scaling back services to cut costs. I will never understand how you can allow your staff to openly mock and insult your passengers. I am a BA Silver member and have been a loyal BA customer for years. A disgrace."
33,"✅ Trip Verified |  Absolutely terrible, lost my luggage on both flights, delivered 3 days later smashed to pieces. A lete departure caused me to miss the connecting flight, yielding a 7 hour delay. the aircraft was oversubscribed, dirty, with an unpleasant persistent odour. Food was genuinely horrible, I'm ex forces, I'll eat almost anything usually! "
34,"✅ Trip Verified |  We booked premium economy round trip from Phoenix to Zurich via AA codeshare and operated by British Airway. On our way return flight back to Phoenix February 25th, the first leg of the BA flight 0773 between Zurich and London Heathrow was delayed departure, which cause us missed the BA 0289 connection flight between Heathrow and Phoenix. First problem is that when we dash to the terminal 5 security check point at 12:00 PM, the airplane was still at gate and will not depart until 2:25 PM if it will be on schedule, we had almost 30 min at that point, however the terminal 5 security stopped us and was told we cannot pass thru the security due to airline requirement, we later realized that flight 0289 did not leave until 3:30 PM. We were directed to the customer service to re-book the flight. When we got to BA customer service transfer counter, there was only one agent available, there were least 12 passengers waiting in the lines, we were told BA was short of staffs due to British holiday during end of February and there was a soccer championship match that Sunday, so it took us at least an hour and half to rebook the same flight next day, also it seems there are not much option at all if we want to back to Phoenix on different flight on the same day. Then, the agent who re-booked the flight told us his printer was broken and we need go to Zone 2 of terminal 5 to get the ticket and hotel voucher printed. We found Zone 2 and had our ticket and voucher in hand and assure by the agent that our luggage will be on our next day flight with us as well. We also told there was a shuttle bus around the corner to take us to the hotel, however no map or detail direction provided, it took us a while to find out that the shuttle is at back side of the terminal 5, by the time we arrived at hotel we were very tired. Next day, we arrived at airport few hours ahead our scheduled departed time 2:25 PM, I noticed my checked two bags not in the same spot based on my iPhone’s Find me feature (I had Apple Air Tag in each of my checked bags), so I checked with the gate agent, she confirmed with me that only one checked bag was associated with my flight! Luckily, the flight was delayed two hours, so my other bag made to the same flight. While on the flight, the team of young flight attendants were generally pleasant, but they missed to service me meal, I did not order any special meal, and the popular chicken dish was not available when she came to my row, so I told her any chicken dish will be ok, and she told me give her few minutes and she will bring me a different chicken dish, however she totally forgot that and only when she came back to collect the trash, I mentioned to her she forgot my chicken dish, she was surprised and acting like I was lying to her. Overall, I think my premium economy flight on BA is the worst experience in recent memory. As the British flagship carrier, they seem don't care, I emailed my sent my experience to their customer service, they responded with a standard corporate reply from one of their email templates..."
35,"✅ Trip Verified |  We chose Rotterdam and London City airport because of convenience, both small and having a hotel in the Docklands meant a short distance from City Airport. Three hours before our departure our flight was canceled however. Disappointing, but we made a swift move to Amsterdam Schiphol Airport, but unfortunately we were offered a flight to Heathrow, which meant almost 1,5 hours by tube to our hotel. Flight back operated out of LCY to RTM, but had a 30 mins delay, so in terms of punctuality BA is not very reliant. The flights were okay, with a snack and a drink. The E190 being far more comfortable with 2-2 seating and more legroom than the A319. Our extra expenses for the cancelled flight were handled promptly and we got all the money for extra transport and food back, so BA did a good job in this respect. But hesitant to book again, though they are the only airline flying between RTM and LCY."
36,"✅ Trip Verified | The entire booking and ticketing experience has been stressful and erroneous. I booked directly with BA as I thought - why go to any other airline when their home headquarters is UK and I need to go to the UK. Mistake. This was months ago. I could not cancel or change my flight without paying them $750 to cancel my flight and have that money sitting for just 1 year on account, otherwise all was lost minus a few hundred in taxes. As whom I am really flying with is American Airlines and another partner I can't check in without being redirected. Then those sites don't recognize me. I don't appear in AA or Aer Lingus applications. I couldn't ask for more time to change planes in London despite all reviews saying how long and hard it is, as that would mean a cancel of plane ticket - loss of all money. I've been on the phone with agents for over an hour on 3 different calls. Their app will not let me in without each time a reset of passcode, a 30 minute wait for the email and then I get the same error."
